date,gold_usd_close_forecast,usdinr_close_forecast
2026-09-02,4346.018898442757,95.30717948884038
2026-09-03,4351.898801462311,95.47529717329869
2026-09-04,4347.07270878403,95.61102942812094
2026-09-07,4346.387576722714,95.70614864123816
2026-09-08,4345.844452476511,95.80116117397867
2026-09-09,4344.246085264943,95.89813577828677
2026-09-10,4343.006749994416,95.99375009548325
2026-09-11,4341.793174225013,96.08485754362732
2026-09-14,4340.477730976794,96.17187185897339
2026-09-15,4339.183268807094,96.25564144259621
2026-09-16,4337.882252785527,96.33661047911274
2026-09-17,4336.562425201344,96.41487976579418
2026-09-18,4335.234941439923,96.49054129043785
2026-09-21,4333.897829374225,96.56374263421999
2026-09-22,4332.550134553586,96.63464805817328
2026-09-23,4331.1930638792355,96.70340575353684
2026-09-24,4329.826677210001,96.77014720790334
2026-09-25,4328.451090584609,96.83499436883659
2026-09-28,4327.0666143943245,96.89806295815077
2026-09-29,4325.673454635575,96.95946236155518
2026-09-30,4324.271814819433,97.01929524069371
2026-10-01,4322.86191155024,97.0776577753141
2026-10-02,4321.443947738645,97.13464018024078
2026-10-05,4320.018121294004,97.19032715192117
2026-10-06,4318.584626899037,97.24479820881098
2026-10-07,4317.143653714085,97.29812799135561
2026-10-08,4315.6953862119235,97.35038655472592
2026-10-09,4314.240004463865,97.40163965196079
2026-10-12,4312.777684035786,97.45194900017043
2026-10-13,4311.30859615733,97.50137252863992
2026-10-14,4309.832907846128,97.54996461097981
2026-10-15,4308.350781992765,97.59777628317069
2026-10-16,4306.8623774674115,97.6448554484402
2026-10-19,4305.367849220754,97.69124706960818
2026-10-20,4303.867348379033,97.73699334959174
2026-10-21,4302.361022338812,97.78213390080816
2026-10-22,4300.849014859199,97.8267059041796
2026-10-23,4299.331466151453,97.8707442583828
2026-10-26,4297.80851296658,97.91428171993901
2026-10-27,4296.280288680739,97.95734903470469
2026-10-28,4294.746923378523,97.99997506129043
2026-10-29,4293.208543934183,98.04218688690382
2026-10-30,4291.6652740908685,98.08400993608198
2026-11-02,4290.117234537893,98.1254680727499
2026-11-03,4288.564542986093,98.16658369601397
2026-11-04,4287.007314241348,98.20737783007584
2026-11-05,4285.445660276257,98.24787020862688
2026-11-06,4283.879690300068,98.28807935406252
2026-11-09,4282.309510826875,98.3280226518341
